gameID,turn,side,move,error
57380690,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380691,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380692,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380693,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380694,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380695,1,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380696,1,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380697,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380698,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380699,1,black,e3+5,"Cannot resolve move=e3+5, side=black, candidates=[(0, 2)]"
57380700,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380701,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380702,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380703,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380704,2,black,h8+9,"Cannot resolve move=h8+9, side=black, candidates=[(0, 7)]"
57380705,2,red,E7+5,"Cannot resolve move=E7+5, side=red, candidates=[(9, 2)]"
57380706,1,black,e3+5,"Cannot resolve move=e3+5, side=black, candidates=[(0, 2)]"
57380707,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380708,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380709,2,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380710,2,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380711,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380712,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380713,1,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380714,2,black,e3+5,"Cannot resolve move=e3+5, side=black, candidates=[(0, 2)]"
57380715,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380716,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380717,3,black,e7+5,"Cannot resolve move=e7+5, side=black, candidates=[(0, 6)]"
57380718,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380719,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380720,1,black,e3+5,"Cannot resolve move=e3+5, side=black, candidates=[(0, 2)]"
57380721,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380722,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380723,2,red,A4+5,"Cannot resolve move=A4+5, side=red, candidates=[(9, 5)]"
57380724,1,red,E7+5,"Cannot resolve move=E7+5, side=red, candidates=[(9, 2)]"
57380725,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380726,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380727,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380728,1,black,e3+5,"Cannot resolve move=e3+5, side=black, candidates=[(0, 2)]"
57380729,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380730,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380731,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380732,1,black,h2+1,"Cannot resolve move=h2+1, side=black, candidates=[(0, 1)]"
57380733,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380734,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380735,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380736,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380737,1,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380738,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380739,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380740,1,black,e7+5,"Cannot resolve move=e7+5, side=black, candidates=[(0, 6)]"
57380741,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380742,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380743,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380744,1,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380745,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380746,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380747,1,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380748,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380749,1,black,e3+5,"Cannot resolve move=e3+5, side=black, candidates=[(0, 2)]"
57380750,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380751,1,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380752,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380753,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380754,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380755,2,red,H2+1,"Cannot resolve move=H2+1, side=red, candidates=[(9, 7)]"
57380756,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380757,2,black,a4+5,"Cannot resolve move=a4+5, side=black, candidates=[(0, 3)]"
57380758,1,black,a4+5,"Cannot resolve move=a4+5, side=black, candidates=[(0, 3)]"
57380759,2,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380760,1,black,e3+5,"Cannot resolve move=e3+5, side=black, candidates=[(0, 2)]"
57380761,1,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
