gameID,turn,side,move,score
57380690,1,red,C2.5,1.0
57380690,1,black,h2+3,1.0
57380691,1,red,C2.5,1.0
57380691,1,black,h2+3,1.0
57380692,1,red,C8.6,-1.0
57380692,1,black,h8+7,-1.0
57380693,1,red,E3+5,-1.0
57380694,1,red,C8.5,1.0
57380694,1,black,h2+3,1.0
57380695,1,red,H2+3,-1.0
57380696,1,red,H8+7,1.0
57380697,1,red,C2.7,-1.0
57380697,1,black,c8.5,-1.0
57380697,2,red,H2+3,-1.0
57380698,1,red,C8.4,1.0
57380698,1,black,h2+3,1.0
57380699,1,red,C8.5,1.0
57380699,1,black,e3+5,1.0
57380700,1,red,C2.5,1.0
57380700,1,black,h2+3,1.0
57380701,1,red,P3+1,1.0
57380701,1,black,c2.5,1.0
57380701,2,red,H2+3,1.0
57380702,1,red,C8.5,1.0
57380702,1,black,h2+3,1.0
57380703,1,red,E3+5,1.0
57380704,1,red,C2.5,1.0
57380704,1,black,c8+1,1.0
57380704,2,red,R1+1,1.0
57380704,2,black,h8+9,1.0
57380705,1,red,C2.6,-1.0
57380705,1,black,p3+1,-1.0
57380705,2,red,E7+5,-1.0
57380706,1,red,P7+1,1.0
57380706,1,black,e3+5,1.0
57380707,1,red,C2.5,-1.0
57380707,1,black,c2.5,-1.0
57380707,2,red,H2+3,-1.0
57380708,1,red,C2.5,-1.0
57380708,1,black,c2.5,-1.0
57380708,2,red,H2+3,-1.0
57380709,1,red,P3+1,1.0
57380709,1,black,c8.7,1.0
57380709,2,red,E3+5,1.0
57380710,1,red,P3+1,-1.0
57380710,1,black,c8.7,-1.0
57380710,2,red,E3+5,-1.0
57380711,1,red,E3+5,1.0
57380712,1,red,C8.5,1.0
57380712,1,black,h2+3,1.0
57380713,1,red,H2+3,1.0
57380714,1,red,P7+1,1.0
57380714,1,black,c2.6,1.0
57380714,2,red,C2.4,1.0
57380714,2,black,e3+5,1.0
57380715,1,red,C2.5,1.0
57380715,1,black,h8+7,1.0
57380716,1,red,C2.5,-1.0
57380716,1,black,h8+7,-1.0
57380717,1,red,R1+1,1.0
57380717,1,black,c8+7,1.0
57380717,2,red,R9+2,1.0
57380717,2,black,c2+7,1.0
57380717,3,red,C8+2,1.0
57380717,3,black,e7+5,1.0
57380718,1,red,C8.5,-1.0
57380718,1,black,c2.5,-1.0
57380718,2,red,H8+7,-1.0
57380719,1,red,C8.5,-1.0
57380719,1,black,h2+3,-1.0
57380720,1,red,C8.5,-1.0
57380720,1,black,e3+5,-1.0
57380721,1,red,C2.5,-1.0
57380721,1,black,c2.5,-1.0
57380721,2,red,H2+3,-1.0
57380722,1,red,C2.5,-1.0
57380722,1,black,c8.5,-1.0
57380722,2,red,H2+3,-1.0
57380723,1,red,P5+1,-1.0
57380723,1,black,c8.5,-1.0
57380723,2,red,A4+5,-1.0
57380724,1,red,E7+5,1.0
57380725,1,red,C8.4,1.0
57380725,1,black,p3+1,1.0
57380725,2,red,H8+7,1.0
57380726,1,red,C2.5,1.0
57380726,1,black,h2+3,1.0
57380727,1,red,C8.5,1.0
57380727,1,black,h8+7,1.0
57380728,1,red,C2.5,-1.0
57380728,1,black,e3+5,-1.0
57380729,1,red,P3+1,1.0
57380729,1,black,c8.5,1.0
57380729,2,red,H8+7,1.0
57380730,1,red,C2.5,1.0
57380730,1,black,c2.5,1.0
57380730,2,red,H2+3,1.0
57380731,1,red,C2.5,1.0
57380731,1,black,h8+7,1.0
57380732,1,red,P3+1,1.0
57380732,1,black,h2+1,1.0
57380733,1,red,C8.5,1.0
57380733,1,black,h2+3,1.0
57380734,1,red,C2.6,1.0
57380734,1,black,c8.5,1.0
57380734,2,red,H2+3,1.0
57380735,1,red,C8.5,1.0
57380735,1,black,h8+7,1.0
57380736,1,red,E3+5,1.0
57380737,1,red,H2+3,-1.0
57380738,1,red,C2+2,1.0
57380738,1,black,c8.5,1.0
57380738,2,red,H2+3,1.0
57380739,1,red,C2.5,1.0
57380739,1,black,h2+3,1.0
57380740,1,red,C2.5,-1.0
57380740,1,black,e7+5,-1.0
57380741,1,red,E3+5,-1.0
57380742,1,red,E3+5,-1.0
57380743,1,red,C2.6,-1.0
57380743,1,black,c2.5,-1.0
57380743,2,red,H2+3,-1.0
57380744,1,red,H8+7,1.0
57380745,1,red,C8.5,1.0
57380745,1,black,h2+3,1.0
57380746,1,red,C2.5,-1.0
57380746,1,black,h8+7,-1.0
57380747,1,red,H2+3,-1.0
57380748,1,red,P7+1,1.0
57380748,1,black,p7+1,1.0
57380748,2,red,H8+7,1.0
57380749,1,red,C2.7,-1.0
57380749,1,black,e3+5,-1.0
57380750,1,red,C8.4,1.0
57380750,1,black,c2.5,1.0
57380750,2,red,H8+7,1.0
57380751,1,red,H2+3,1.0
57380752,1,red,C2.5,1.0
57380752,1,black,h8+7,1.0
57380753,1,red,C8.5,-1.0
57380753,1,black,h2+3,-1.0
57380754,1,red,C2.5,-1.0
57380754,1,black,h8+7,-1.0
57380755,1,red,P7+1,1.0
57380755,1,black,p7+1,1.0
57380755,2,red,H2+1,1.0
57380756,1,red,C2.5,1.0
57380756,1,black,h8+7,1.0
57380757,1,red,C2.5,-1.0
57380757,1,black,c2.5,-1.0
57380757,2,red,C5+4,-1.0
57380757,2,black,a4+5,-1.0
57380758,1,red,C2.5,1.0
57380758,1,black,a4+5,1.0
57380759,1,red,P7+1,1.0
57380759,1,black,c2.6,1.0
57380759,2,red,C2.4,1.0
57380759,2,black,h2+3,1.0
57380760,1,red,C2.5,1.0
57380760,1,black,e3+5,1.0
57380761,1,red,H2+3,1.0
57380762,1,red,C8.5,1.0
57380762,1,black,c8.5,1.0
57380762,2,red,H8+7,1.0
57380763,1,red,C2.6,1.0
57380763,1,black,c8.5,1.0
57380763,2,red,H2+3,1.0
57380764,1,red,A4+5,1.0
57380765,1,red,C2.5,1.0
57380765,1,black,h2+3,1.0
57380766,1,red,E7+5,1.0
57380767,1,red,C2.4,1.0
57380767,1,black,h2+3,1.0
57380768,1,red,C2.5,-1.0
57380768,1,black,c8+1,-1.0
57380768,2,red,H2+3,-1.0
57380769,1,red,C8.5,1.0
57380769,1,black,e3+5,1.0
57380770,1,red,C2.5,-1.0
57380770,1,black,c8.5,-1.0
57380770,2,red,H2+3,-1.0
57380771,1,red,C8.5,1.0
57380771,1,black,e3+5,1.0
57380772,1,red,C8.5,-1.0
57380772,1,black,h2+3,-1.0
57380773,1,red,C8.5,-1.0
